# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT MLT
2003.00 11.00 20.00 17.00 46.00 68.50 50.00 17.73
2003.00 11.00 20.00 17.00 45.00 68.50 52.50 17.72
2003.00 11.00 20.00 17.00 45.00 71.00 52.50 17.89
2003.00 11.00 20.00 17.00 45.00 73.50 52.50 18.05
2003.00 11.00 20.00 17.00 29.00 76.00 52.50 17.96
2003.00 11.00 20.00 17.00 45.00 76.00 52.50 18.22
2003.00 11.00 20.00 17.00 29.00 78.50 52.50 18.13
2003.00 11.00 20.00 17.00 45.00 78.50 52.50 18.39
2003.00 11.00 20.00 17.00 29.00 81.00 52.50 18.30
2003.00 11.00 20.00 17.00 45.00 81.00 52.50 18.55
2003.00 11.00 20.00 17.00 45.00 83.50 52.50 18.72
2003.00 11.00 20.00 17.00 45.00 86.00 52.50 18.89
2003.00 11.00 20.00 18.00 4.00 116.00 52.50 21.19
2003.00 11.00 20.00 16.00 48.00 118.50 52.50 20.15
2003.00 11.00 20.00 17.00 14.00 118.50 52.50 20.56
2003.00 11.00 20.00 16.00 48.00 121.00 52.50 20.31
2003.00 11.00 20.00 17.00 14.00 121.00 52.50 20.73
2003.00 11.00 20.00 16.00 48.00 123.50 52.50 20.48
2003.00 11.00 20.00 20.00 24.00 131.00 52.50 0.42
2003.00 11.00 20.00 20.00 10.00 133.50 52.50 0.36
2003.00 11.00 20.00 20.00 21.00 133.50 52.50 0.53
2003.00 11.00 20.00 20.00 10.00 136.00 52.50 0.53
2003.00 11.00 20.00 20.00 21.00 136.00 52.50 0.70
2003.00 11.00 20.00 20.00 25.00 136.00 52.50 0.77
2003.00 11.00 20.00 20.00 21.00 138.50 52.50 0.87
2003.00 11.00 20.00 20.00 28.00 138.50 52.50 0.98
2003.00 11.00 20.00 20.00 20.00 146.00 52.50 1.35
2003.00 11.00 20.00 19.00 34.00 148.50 52.50 0.79
2003.00 11.00 20.00 19.00 34.00 151.00 52.50 0.95
2003.00 11.00 20.00 18.00 15.00 153.50 52.50 23.86
2003.00 11.00 20.00 19.00 12.00 153.50 52.50 0.77
2003.00 11.00 20.00 19.00 13.00 153.50 52.50 0.78
2003.00 11.00 20.00 18.00 15.00 156.00 52.50 0.03
2003.00 11.00 20.00 19.00 12.00 156.00 52.50 0.94
2003.00 11.00 20.00 19.00 13.00 156.00 52.50 0.95
2003.00 11.00 20.00 17.00 50.00 158.50 52.50 23.80
2003.00 11.00 20.00 18.00 15.00 158.50 52.50 0.20
2003.00 11.00 20.00 18.00 43.00 158.50 52.50 0.64
2003.00 11.00 20.00 19.00 12.00 158.50 52.50 1.10
2003.00 11.00 20.00 19.00 13.00 158.50 52.50 1.12
2003.00 11.00 20.00 17.00 50.00 161.00 52.50 23.97
2003.00 11.00 20.00 18.00 55.00 161.00 52.50 1.00
2003.00 11.00 20.00 19.00 9.00 161.00 52.50 1.22
2003.00 11.00 20.00 18.00 19.00 163.50 52.50 0.59
2003.00 11.00 20.00 18.00 45.00 163.50 52.50 1.01
